,city,country,latitude,longitude,name,postalCode,state
0,Massena,US,44,-74,McDonald's,13662,NY
1,Washington Court House,US,39,-83,Wendy's,43160,OH
2,Maysville,US,38,-83,Frisch's Big Boy,41056,KY
3,Massena,US,44,-74,McDonald's,13662,NY
4,Athens,US,39,-82,OMG! Rotisserie,45701,OH
5,Hamilton,US,39,-84,Domino's Pizza,45011,OH
6,Englewood,US,39,-84,Domino's Pizza,45322,OH
7,Saluda,US,34,-81,McDonald's,29138,SC
8,Batesburg,US,33,-81,Wendy's,29006,SC
9,Paragould,US,36,-90,Pizza Hut,72450,AR
10,Sheridan,US,34,-92,SONIC Drive In,72150,AR
11,Monticello,US,33,-91,Domino's Pizza,71655,AR
12,Oklahoma City,US,35,-97,McDonald's,73118,OK
13,Lexington,US,38,-84,Domino's Pizza,40511,KY
14,Tell City,US,37,-86,Long John Silver's,47586,IN
15,Louisville,US,38,-85,McDonald's,40208,KY
16,Oklahoma City,US,35,-97,McDonald's,73132,OK
17,Leland,US,34,-77,Taco Bell,28451,NC
18,Leland,US,34,-78,McDonald's,28451,NC
19,Brentwood,US,36,-86,Qdoba Mexican Grill,37027,TN
20,Leland,US,34,-78,McDonald's,28451,NC
21,Hardinsburg,US,37,-86,McDonald's,40143,KY
22,Wichita Falls,US,33,-98,McDonald's,76302,TX
23,South Padre Island,US,26,-97,McDonald's,78597,TX
24,Miami,US,36,-94,McDonald's,74354,OK
25,Pineville,US,31,-92,Pizza Hut,71360,LA
26,Bastrop,US,32,-91,Sonic Drive-In,71220,LA
27,Claremore,US,36,-95,Domino's Pizza,74017,OK
28,Minerva,US,40,-81,McDonald's,44657,OH
29,Leavenworth,US,39,-94,SONIC Drive In,66048,KS
30,Jamestown,US,46,-98,Taco Bell,58401,ND
31,Fargo,US,46,-96,Domino's Pizza,58103,ND
32,Jamestown,US,46,-98,Taco John's,58401,ND
33,Minot,US,48,-101,McDonald's,58701,ND
34,Woodville,US,30,-94,Whataburger,75979,TX
35,Minot,US,48,-101,Pizza Hut,58701,ND
36,Smithfield,US,41,-111,Domino's Pizza,84335,UT
38,Broken Arrow,US,36,-95,SONIC Drive In,74012,OK
39,Norman,US,35,-97,Domino's Pizza,73071,OK
40,Warner Robins,US,32,-83,Burger King,31098,GA
41,Albuquerque,US,35,-106,Burger King,87109,NM
42,El Paso,US,31,-106,McDonalds,79925,TX
43,Shawnee,US,35,-96,SONIC Drive In,74801,OK
44,Portland,US,45,-122,Taco Time,97219,OR
45,Ashland,US,38,-82,McDonald's,41101,KY
46,Cleveland,US,41,-81,Burger King,44130,OH
47,Evansville,US,38,-87,McDonald's,47710,IN
48,Waxahachie,US,32,-96,Jimmy John's,75165,TX
49,Oklahoma City,US,35,-97,Domino's Pizza,73160,OK
50,Mililani,US,21,-158,Jersey Mike's Subs,96789,HI
51,Jeffersonville,US,38,-85,Popeyes Louisiana Kitchen,47130,IN
52,Louisville,US,38,-85,Qdoba Mexican Grill,40220,KY
53,Salem,US,44,-123,Domino's Pizza,97306,OR
54,San Antonio,US,29,-98,Whataburger,78245,TX
55,Louisville,US,38,-85,Qdoba Mexican Grill,40222,KY
56,Bennington,US,42,-73,Taco Bell,5201,VT
57,Austin,US,30,-97,Whataburger,78749,TX
58,Austin,US,30,-97,Whataburger,78748,TX
59,Iron Mountain,US,45,-88,Hardee's,49801,MI
60,Hickory,US,35,-81,McDonald's,28601,NC
61,Saint Louis,US,38,-90,Rally's,63134,MO
62,Mandeville,US,30,-90,Quiznos,70471,LA
63,Auburn,US,42,-76,Burger King,13021,NY
64,Richmond,US,29,-95,Whataburger,77469,TX
65,Green Bay,US,44,-87,Domino's Pizza,54302,WI
66,Maumelle,US,34,-92,SONIC Drive In,72113,AR
67,Sullivan,US,38,-91,Taco Bell,63080,MO
68,Memphis,US,35,-89,Domino's Pizza,38135,TN
69,Yakima,US,46,-120,Taco Bell,98903,WA
70,Branson,US,36,-93,Jimmy John's,65616,MO
71,Springdale,US,36,-94,Taco Bell,72764,AR
72,La Vergne,US,36,-86,Domino's Pizza,37086,TN
73,Brusly,US,30,-91,McDonald's,70719,LA
74,Fayetteville,US,34,-78,Domino's Pizza,28306,NC
75,Bronx,US,40,-73,Burger King,10475,NY
76,Dalton,US,34,-84,McDonalds,30721,GA
77,West Linn,US,45,-122,Jack in the Box,97068,OR
78,Brigham City,US,41,-112,Sonic Drive-In,84302,UT
79,Brigham City,US,41,-112,Taco Bell,84302,UT
80,Brigham City,US,41,-112,Subway,84302,UT
81,Chesterton,US,41,-87,Jimmy John's,46304,IN
82,Martin,US,36,-88,McDonald's,38237,TN
83,La Crosse,US,43,-91,Hardee's,54601,WI
84,Memphis,US,35,-89,McDonald's,38134,TN
85,La Crosse,US,43,-91,McDonald's,54603,WI
86,Marshfield,US,44,-90,Taco John's,54449,WI
87,Marshfield,US,44,-90,McDonald's,54449,WI
88,Cleveland,US,41,-81,Mr Hero,44128,OH
89,Yakima,US,46,-120,McDonald's,98902,WA
90,West Jordan,US,40,-112,McDonald's,84081,UT
91,Indianola,US,33,-90,Taco Bell,38751,MS
92,Fort Riley,US,39,-96,Domino's Pizza,66442,KS
93,Saint George,US,37,-113,Taco Bell,84770,UT
94,Saint George,US,37,-113,Taco Bell,84770,UT
95,Lawrence,US,38,-95,Pizza Hut,66049,KS
96,Lincoln,US,40,-96,Amigos/Kings Classic,68516,NE
97,Overland Park,US,38,-94,Raising Cane's Chicken Fingers,66223,KS
98,Sandusky,US,41,-82,McDonalds,44870,OH
99,La Marque,US,29,-94,Whataburger,77568,TX
100,Rockport,US,28,-97,McDonald's,78382,TX
101,Cincinnati,US,39,-84,Domino's Pizza,45251,OH
102,Cincinnati,US,39,-84,Domino's Pizza,45243,OH
103,New Braunfels,US,29,-98,Whataburger,78130,TX
104,Windham,US,43,-70,Burger King,4062,ME
105,Spokane,US,47,-117,Taco Time,99216,WA
106,Jefferson City,US,38,-92,SONIC Drive In,65109,MO
107,Jefferson City,US,38,-92,McDonald's,65109,MO
108,Oxford,US,34,-89,Coop DeVille,38655,MS
109,Sidney,US,41,-102,McDonalds,69162,NE
110,Auburn,US,40,-95,Amigos/Kings Classic,68305,NE
111,Garden City,US,40,-73,B. Good,11530,NY
112,Shepherdsville,US,37,-85,Domino's Pizza,40165,KY
113,Glasgow,US,37,-85,McDonald's,42141,KY
114,Alexandria,US,31,-92,Sonic Drive-In,71303,LA
115,Somerset,US,37,-84,McDonald's,42501,KY
116,Albuquerque,US,35,-106,Domino's Pizza,87105,NM
117,Owensboro,US,37,-87,McDonald's,42301,KY
118,Kenner,US,30,-90,Burger King,70065,LA
119,Houma,US,29,-90,Sonic Drive-In,70360,LA
120,Albuquerque,US,35,-106,Domino's Pizza,87122,NM
121,Madison,US,38,-85,Rally's,47250,IN
122,Houma,US,29,-90,Taco Bell,70360,LA
123,Farmerville,US,32,-92,Taco Bell,71241,LA
124,Westwego,US,29,-90,Pizza Hut,70094,LA
125,Baton Rouge,US,30,-91,Sonic Drive-In,70802,LA
126,Cleveland,US,33,-90,Back Yard Burgers,38732,MS
127,Cleveland,US,33,-90,McDonald's,38732,MS
128,Camp Lejeune,US,34,-77,Wendy's,28547,NC
129,Duluth,US,46,-92,Domino's Pizza,55805,MN
130,Fort Stewart,US,31,-81,Burger King,31314,GA
131,Northport,US,33,-87,Sonic Drive-In,35476,AL
132,Coralville,US,41,-91,Domino's Pizza,52241,IA
133,Hartselle,US,34,-86,Taco Bell,35640,AL
134,Elizabeth City,US,36,-76,Domino's Pizza,27909,NC
135,Swansboro,US,34,-77,McDonalds,28584,NC
136,Sutton,US,38,-80,Arby's,26601,WV
138,Bay City,US,28,-95,Taco Bell,77414,TX
139,Columbia,US,34,-80,Panda Express,29203,SC
140,Ames,US,42,-93,Domino's Pizza,50014,IA
141,Laurinburg,US,34,-79,Taco Bell,28352,NC
142,Valdosta,US,30,-83,Chick-fil-A,31601,GA
143,Batesburg,US,33,-81,Hardee's,29006,SC
144,North Charleston,US,32,-80,Domino's Pizza,29418,SC
145,Ottumwa,US,41,-92,McDonald's,52501,IA
146,Mexia,US,31,-96,McDonald's,76667,TX
147,Baton Rouge,US,30,-91,Captain D's,70806,LA
148,Corpus Christi,US,27,-97,Whataburger,78410,TX
149,Angleton,US,29,-95,Jack in the Box,77515,TX
150,Natchitoches,US,31,-93,Sonic Drive-In,71457,LA
151,Tillamook,US,45,-123,McDonald's,97141,OR
152,Franklin,US,35,-86,Domino's Pizza,37064,TN
153,Mexico,US,39,-91,SONIC Drive In,65265,MO
154,Park Hills,US,37,-90,SONIC Drive In,63601,MO
155,Phoenix,US,33,-112,Samurai Sam's,85029,AZ
156,Andalusia,US,31,-86,Arby's,36420,AL
157,Lincoln,US,40,-96,Amigos/Kings Classic,68508,NE
158,Clay Center,US,39,-97,SONIC Drive In,67432,KS
159,Tyler,US,32,-95,McDonald's,75703,TX
160,Victoria,US,28,-97,McDonald's,77901,TX
161,Keyser,US,39,-78,Subway,26726,WV
162,Katy,US,29,-95,McDonald's,77449,TX
163,Woodway,US,31,-97,Whataburger,76712,TX
164,Roma,US,26,-99,McDonald's,78584,TX
165,Buffalo,US,31,-96,McDonalds,75831,TX
166,Childress,US,34,-100,McDonald's,79201,TX
167,Kingsville,US,27,-97,Taco Bell,78363,TX
168,Killeen,US,31,-97,McDonald's,76542,TX
169,Gilmer,US,32,-94,Taco Bell,75644,TX
170,Katy,US,29,-95,McDonald's,77494,TX
171,Jasper,US,30,-93,McDonald's,75951,TX
172,Bowie,US,33,-97,McDonald's,76230,TX
173,New Boston,US,33,-94,Taco Bell,75570,TX
174,San Benito,US,26,-97,McDonald's,78586,TX
175,Hickory,US,35,-81,Domino's Pizza,28602,NC
176,Lonoke,US,34,-91,SONIC Drive In,72086,AR
177,Gretna,US,29,-90,Domino's Pizza,70056,LA
178,Papillion,US,41,-96,Domino's Pizza,68133,NE
179,Omaha,US,41,-96,Domino's Pizza,68154,NE
180,Newport,US,39,-84,Domino's Pizza,41071,KY
181,Greensboro,US,36,-79,Domino's Pizza,27455,NC
182,Harlingen,US,26,-97,Taco Bell,78550,TX
183,Las Vegas,US,35,-105,McDonald's,87701,NM
184,Holdrege,US,40,-99,Sonic Drive-In,68949,NE
185,Minot,US,48,-101,Taco Bell,58701,ND
186,Wahpeton,US,46,-96,Taco John's,58075,ND
187,Madison,US,44,-97,Taco John's,57042,SD
188,Carlsbad,US,32,-104,McDonalds,88220,NM
189,Bastrop,US,32,-91,McDonald's,71220,LA
190,Truth Or Consequences,US,33,-107,Sonic Drive-In,87901,NM
191,Madison,US,44,-97,McDonald's,57042,SD
192,Owatonna,US,44,-93,Taco Bell,55060,MN
193,Laramie,US,41,-105,Taco Bell,82070,WY
194,Belle Fourche,US,44,-103,Taco John's,57717,SD
195,Shreveport,US,32,-93,Whataburger,71105,LA
196,Tahlequah,US,35,-94,Northeastern State University,74464,OK
197,Alexandria,US,31,-92,McDonald's,71303,LA
198,Ellsworth,US,44,-68,Taco Bell,4605,ME
199,Ellsworth,US,44,-68,McDonald's,4605,ME
200,Albuquerque,US,35,-106,Pizza Hut,87109,NM
201,Natchitoches,US,31,-93,McDonald's,71457,LA
202,Gardiner,US,44,-69,Domino's Pizza,4345,ME
203,Springdale,US,36,-94,SONIC Drive In,72764,AR
204,Stigler,US,35,-95,McDonald's,74462,OK
205,Atoka,US,34,-96,Taco Bell,74525,OK
206,Checotah,US,35,-95,Subway,74426,OK
207,Springfield,US,44,-122,Domino's Pizza,97478,OR
208,Brattleboro,US,42,-72,Domino's Pizza,5301,VT
209,Wagoner,US,35,-95,SONIC Drive In,74467,OK
210,Alexandria,US,31,-92,Subway,71303,LA
211,Endicott,US,42,-76,McDonald's,13760,NY
212,West Lafayette,US,40,-86,Jimmy John's,47906,IN
213,Saint Albans,US,44,-73,Taco Bell,5478,VT
214,Burlington,US,44,-73,SUBWAY,5401,VT
215,Alexandria,US,40,-85,Pizza Hut,46001,IN
216,Montpelier,US,44,-72,Domino's Pizza,5602,VT
217,North Wilkesboro,US,36,-81,Wendy's,28659,NC
218,Houlton,US,46,-67,Domino's Pizza,4730,ME
219,Williston,US,48,-103,Taco John's,58801,ND
220,Columbia,US,34,-80,Sarku Japan,29223,SC
221,Mason City,US,43,-93,Taco Bell,50401,IA
222,Spencer,US,43,-95,Taco Bell,51301,IA
223,Washington,US,41,-91,Taco Bell,52353,IA
224,Owens Cross Roads,US,34,-86,Taco Bell,35763,AL
225,West Columbia,US,33,-81,Pizza Hut,29170,SC
226,Jacksonville,US,39,-90,Taco Bell,62650,IL
227,Seneca Falls,US,42,-76,Burger King,13148,NY
228,Camden,US,34,-80,Chick-fil-A,29020,SC
229,Rawlins,US,41,-107,Subway,82301,WY
230,Malone,US,44,-74,Domino's Pizza,12953,NY
231,Clinton,US,40,-88,Taco Bell,61727,IL
232,Cobleskill,US,42,-74,Taco Bell,12043,NY
233,Ogdensburg,US,44,-75,McDonald's,13669,NY
234,Monmouth,US,40,-90,Taco Bell,61462,IL
235,Eastlake,US,41,-81,Burger King,44095,OH
236,Jefferson City,US,38,-92,Captain D's,65109,MO
237,Fairfield,US,38,-88,McDonald's,62837,IL
238,Jefferson City,US,38,-92,Jack in the Box,65109,MO
239,Murphysboro,US,37,-89,McDonald's,62966,IL
240,Atmore,US,31,-87,Burger King,36502,AL
241,Greenville,US,38,-89,Taco Bell,62246,IL
242,Bronx,US,40,-73,McDonald's,10451,NY
243,New York,US,40,-73,Five Guys,10036,NY
244,Fairfax,US,38,-77,Pei Wei,22033,VA
245,Woodbridge,US,38,-77,Wendy's,22192,VA
246,Louisville,US,38,-85,Arby's,40213,KY
247,Louisville,US,38,-85,McDonald's,40219,KY
248,Louisville,US,38,-85,Taco Bell,40213,KY
249,Nixa,US,37,-93,Arby's,65714,MO
250,Greenville,US,34,-82,Taco Bell,29611,SC
251,Greenville,US,34,-82,McDonald's,29611,SC
252,Clarksville,US,36,-87,SONIC Drive In,37043,TN
253,Clarksville,US,36,-87,Taco Bell,37040,TN
254,Knoxville,US,35,-84,Wendy's,37934,TN
255,Corpus Christi,US,27,-97,Burger King,78410,TX
256,Dayton,US,30,-94,Jack in the Box,77535,TX
257,Springfield,US,37,-93,Jimmy John's,65807,MO
258,Nashville,US,36,-86,McDonald's,37217,TN
259,Mineral Wells,US,32,-98,Taco Bell,76067,TX
260,Victoria,US,28,-96,Wendy's,77901,TX
261,Orlando,US,28,-81,Krystal,32808,FL
263,Denham Springs,US,30,-90,Mcdonald's,70726,LA
264,Bolivar,US,37,-93,McDonald's,65613,MO
265,Bolivar,US,37,-93,Taco Bell,65613,MO
266,Jefferson City,US,38,-92,Taco Bell,65109,MO
267,Jefferson City,US,38,-92,Taco Bell,65109,MO
268,Jefferson City,US,38,-92,Chick-fil-A,65109,MO
269,Bolivar,US,37,-93,Burger King,65613,MO
270,Southport,US,33,-78,Bojangles' Famous Chicken 'n Biscuits,28461,NC
271,Quincy,US,39,-91,Burger King,62301,IL
272,Rogers,US,36,-94,Arby's,72756,AR
273,Springdale,US,36,-94,Wendy's,72764,AR
274,Huntsville,US,36,-93,SUBWAY,72740,AR
275,Springdale,US,36,-94,Hardee's,72764,AR
276,Springdale,US,36,-94,McDonald's,72764,AR
277,Springdale,US,36,-94,Burger King,72764,AR
278,Keokuk,US,40,-91,McDonald's,52632,IA
279,Fort Madison,US,40,-91,Taco Bell,52627,IA
280,Joplin,US,37,-94,Taco Bell,64801,MO
281,Miami,US,25,-80,Pollo Tropical,33157,FL
282,Saint James,US,38,-91,Burger King,65559,MO
283,New Orleans,US,29,-90,McDonald's,70123,LA
284,Tupelo,US,34,-88,Wendy's,38801,MS
285,Tupelo,US,34,-88,Burger King,38801,MS
286,Pontotoc,US,34,-89,Burger King,38863,MS
287,Franklin,US,35,-86,Arby's,37064,TN
288,Pontotoc,US,34,-89,Domino's Pizza,38863,MS
289,Tupelo,US,34,-88,Domino's Pizza,38801,MS
290,Lucedale,US,30,-88,Burger King,39452-6632,AL
291,Biloxi,US,30,-88,Burger King,39531,AL
293,Jackson,US,32,-90,Popeye's Chicken & Biscuits,39209,AL
294,Jackson,US,32,-90,Popeye's Chicken & Biscuits,39209,AL
295,Garner,US,43,-93,Hardee's,50438,IA
296,Spencer,US,43,-95,Burger King,51301,IA
297,Fairfield,US,41,-91,McDonald's,52556,IA
298,Fort Dodge,US,42,-94,Jimmy Johns,50501,IA
299,Fort Dodge,US,42,-94,Wendy's,50501,IA
300,Fort Dodge,US,42,-94,McDonald's,50501,IA
301,Dubuque,US,42,-90,Arby's,52002,IA
302,Dubuque,US,42,-90,Wendy's,52001,IA
304,Spirit Lake,US,43,-95,Burger King,51360,IA
305,Tifton,US,31,-83,Krystal,31794,GA
306,Tifton,US,31,-83,Arby's,31794,GA
307,Tifton,US,31,-83,Bojangles' Famous Chicken 'n Biscuits,31793,GA
308,Dubuque,US,42,-90,Hardee's,52001,IA
309,Dubuque,US,42,-90,McDonald's,52001,IA
310,Dubuque,US,42,-90,Hardee's,52001,IA
311,Memphis,US,35,-89,McDonald's,38111,TN
312,Reidsville,US,32,-82,McDonald's,30453,GA
313,Robinsonville,US,34,-90,Checkers,38664,MS
314,Cedar Falls,US,42,-92,McDonald's,50613,IA
315,Waverly,US,42,-92,McDonald's,50677,IA
316,Cedar Falls,US,42,-92,McDonald's,50613,IA
317,Southaven,US,34,-89,Krystal,38671,MS
318,Memphis,US,35,-90,Burger King,38104,TN
319,Memphis,US,35,-89,Burger King,38141,TN
320,Memphis,US,35,-89,Krystal,38118,TN
321,Memphis,US,35,-89,Burger King,38118,TN
322,Memphis,US,35,-89,Burger King,38104,TN
323,Ottumwa,US,41,-92,Arby's,52501,IA
324,Ottumwa,US,41,-92,Burger King,52501,IA
325,Billings,US,45,-108,Domino's Pizza,59102,MT
326,Billings,US,45,-108,Domino's Pizza,59105,MT
327,Creston,US,41,-94,McDonald's,50801,IA
328,Decorah,US,43,-91,McDonald's,52101,IA
329,Decorah,US,43,-91,Integrated Therapy Specialists: Arnold D Larson,52101,IA
330,Swainsboro,US,32,-82,McDonald's,30401,GA
331,Swainsboro,US,32,-82,KFC,30401,GA
332,Swainsboro,US,32,-82,Hardee's,30401,GA
333,Swainsboro,US,32,-82,Burger King,30401,GA
334,Burlington,US,40,-91,Wendy's,52601,IA
335,Burlington,US,40,-91,Arby's,52601,IA
336,Clinton,US,41,-90,Jimmy John's,52732,IA
337,Clinton,US,41,-90,McDonald's,52732,IA
338,Clinton,US,41,-90,Wendy's,52732,IA
339,Clinton,US,41,-90,McDonald's,52732,IA
340,Carroll,US,42,-94,Jimmy John's,51401,IA
341,Carroll,US,42,-94,McDonald's,51401,IA
342,Carroll,US,42,-94,Arby's,51401,IA
343,Carroll,US,42,-94,Burger King,51401,IA
344,Storm Lake,US,42,-95,Hardee's,50588,IA
345,Storm Lake,US,42,-95,KFC,50588,IA
346,Storm Lake,US,42,-95,Burger King,50588,IA
347,Mason City,US,43,-93,Arby's,50401,IA
348,Mason City,US,43,-93,Hardee's,50401,IA
349,Mason City,US,43,-93,Burger King,50401,IA
350,Corinth,US,34,-88,Domino's Pizza,38834,MS
351,Newton,US,41,-93,Burger King,50208,IA
352,Moscow,US,46,-117,Domino's Pizza,83843,ID
353,Boone,US,36,-81,Burger King,28607,NC
354,Boone,US,36,-81,Jimmy John's,28607,NC
355,Boone,US,36,-81,Jimmy John's,28607,NC
356,Mountain Home,US,43,-115,Jack In The Box,83647,ID
357,Mountain Home,US,43,-115,Wendy's,83647,ID
358,Mountain Home,US,43,-115,McDonald's,83647,ID
