Latitude,Longitude,Location,Municipality,Crash Type,Year,Crash Count
49.265063,-123.119811,HEATHER ST & W 7TH AVE,VANCOUVER,Casualty,2016,2
49.265072,-123.1759,TRUTCH ST & W 8TH AVE,VANCOUVER,Casualty,2016,1
49.265079,-123.06974,COMMERCIAL DR & E 6TH AVE,VANCOUVER,Casualty,2016,2
49.265083,-123.121774,W 7TH AVE & WILLOW ST,VANCOUVER,Casualty,2016,1
49.265199,-123.079402,E 6TH AVE & KEITH DR,VANCOUVER,Casualty,2016,5
49.265302,-123.136066,HEMLOCK ST & W 7TH AVE,VANCOUVER,Casualty,2016,5
49.265354,-123.139237,W 7TH AVE & UNNAMED LANE,VANCOUVER,Casualty,2016,1
49.265454,-123.145708,BURRARD ST & W 7TH AVE,VANCOUVER,Casualty,2016,3
49.265503,-123.100769,E 6TH AVE & MAIN ST,VANCOUVER,Casualty,2016,8
49.265887,-123.06972,COMMERCIAL DR & E 5TH AVE,VANCOUVER,Casualty,2016,4
49.265912,-123.120548,MOBERLY RD & W 6TH AVE,VANCOUVER,Casualty,2016,5
49.265912,-123.119784,HEATHER ST & W 6TH AVE,VANCOUVER,Casualty,2016,1
49.265928,-123.177789,BLENHEIM ST & W 7TH AVE,VANCOUVER,Casualty,2016,1
49.265999,-123.126532,OAK ST & W 6TH AVE,VANCOUVER,Casualty,2016,8
49.266081,-123.131241,ALDER ST & W 6TH AVE,VANCOUVER,Casualty,2016,1
49.266182,-123.138468,GRANVILLE ST & W 6TH AVE,VANCOUVER,Casualty,2016,8
49.266184,-123.133618,BIRCH ST & W 4TH AVE & W 6TH AVE,VANCOUVER,Casualty,2016,3
49.266223,-123.140934,FIR ST & W 6TH AVE,VANCOUVER,Casualty,2016,5
49.266296,-123.077412,CLARK DR & GRANDVIEW HWY N,VANCOUVER,Casualty,2016,9
49.266529,-123.106688,MANITOBA ST & W 5TH AVE,VANCOUVER,Casualty,2016,1
49.266721,-123.11478,CAMBIE ST BRIDGE & W 2ND AVE,VANCOUVER,Casualty,2016,14
49.266728,-123.056588,E 4TH AVE & NANAIMO ST,VANCOUVER,Casualty,2016,2
49.266772,-123.138455,GRANVILLE ST & W 5TH AVE,VANCOUVER,Casualty,2016,2
49.266954,-123.07857,E 4TH AVE & VERNON DR,VANCOUVER,Casualty,2016,1
49.267119,-123.143274,PINE ST & W 5TH AVE,VANCOUVER,Casualty,2016,1
49.267152,-123.145644,BURRARD ST & W 5TH AVE,VANCOUVER,Casualty,2016,1
49.267375,-123.104719,E 4TH AVE & ONTARIO ST & W 4TH AVE,VANCOUVER,Casualty,2016,1
49.267464,-123.168324,MACDONALD ST & W 5TH AVE,VANCOUVER,Casualty,2016,1
49.26755,-123.030991,CASSIAR ST & E 3RD AVE,VANCOUVER,Casualty,2016,1
49.267569,-123.054703,E 3RD AVE & KAMLOOPS ST,VANCOUVER,Casualty,2016,1
49.267759,-123.065803,E 3RD AVE & VICTORIA DR,VANCOUVER,Casualty,2016,1
49.267825,-123.073541,E 3RD AVE & WOODLAND DR,VANCOUVER,Casualty,2016,4
49.267924,-123.140873,FIR ST & W 4TH AVE,VANCOUVER,Casualty,2016,6
49.268045,-123.147977,CYPRESS ST & W 4TH AVE,VANCOUVER,Casualty,2016,12
49.268116,-123.152773,ARBUTUS ST & W 4TH AVE,VANCOUVER,Casualty,2016,7
49.268152,-123.155141,W 4TH AVE & YEW ST,VANCOUVER,Casualty,2016,2
49.268228,-123.100739,E 3RD AVE & MAIN ST,VANCOUVER,Casualty,2016,2
49.268241,-123.102752,E 3RD AVE & QUEBEC ST,VANCOUVER,Casualty,2016,4
49.26847,-123.036447,E 2ND AVE & WINDERMERE ST,VANCOUVER,Casualty,2016,2
49.268484,-123.054704,E 2ND AVE & KAMLOOPS ST,VANCOUVER,Casualty,2016,2
49.268502,-123.17769,BLENHEIM ST & W 4TH AVE,VANCOUVER,Casualty,2016,3
49.268626,-123.099629,E 2ND AVE & LORNE ST,VANCOUVER,Casualty,2016,4
49.268669,-123.065784,E 2ND AVE & VICTORIA DR,VANCOUVER,Casualty,2016,1
49.268736,-123.075442,E 2ND AVE & MCLEAN DR,VANCOUVER,Casualty,2016,2
49.26882,-123.140806,FIR ST & W 3RD AVE,VANCOUVER,Casualty,2016,1
49.2689,-123.145594,BURRARD ST & W 3RD AVE,VANCOUVER,Casualty,2016,5
49.269017,-123.208928,SASAMAT ST & W 4TH AVE,VANCOUVER,Casualty,2016,4
